CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004465414FF;18/02/2023;1;0,285;R
ES0021000004465414FF;18/02/2023;2;0,255;R
ES0021000004465414FF;18/02/2023;3;0,18;R
ES0021000004465414FF;18/02/2023;4;0,21;R
ES0021000004465414FF;18/02/2023;5;0,224;R
ES0021000004465414FF;18/02/2023;6;0,167;R
ES0021000004465414FF;18/02/2023;7;0,133;R
ES0021000004465414FF;18/02/2023;8;0,261;R
ES0021000004465414FF;18/02/2023;9;0,288;R
ES0021000004465414FF;18/02/2023;10;0,252;R
ES0021000004465414FF;18/02/2023;11;0,321;R
ES0021000004465414FF;18/02/2023;12;0,379;R
ES0021000004465414FF;18/02/2023;13;0,481;R
ES0021000004465414FF;18/02/2023;14;0,486;R
ES0021000004465414FF;18/02/2023;15;1,065;R
ES0021000004465414FF;18/02/2023;16;0,871;R
ES0021000004465414FF;18/02/2023;17;0,614;R
ES0021000004465414FF;18/02/2023;18;0,127;R
ES0021000004465414FF;18/02/2023;19;0,154;R
ES0021000004465414FF;18/02/2023;20;0,141;R
ES0021000004465414FF;18/02/2023;21;0,853;R
ES0021000004465414FF;18/02/2023;22;0,767;R
ES0021000004465414FF;18/02/2023;23;0,677;R
ES0021000004465414FF;18/02/2023;24;0,592;R
ES0021000004465414FF;19/02/2023;1;0,361;R
ES0021000004465414FF;19/02/2023;2;0,191;R
ES0021000004465414FF;19/02/2023;3;0,144;R
ES0021000004465414FF;19/02/2023;4;0,137;R
ES0021000004465414FF;19/02/2023;5;0,146;R
ES0021000004465414FF;19/02/2023;6;0,153;R
ES0021000004465414FF;19/02/2023;7;0,14;R
ES0021000004465414FF;19/02/2023;8;0,166;R
ES0021000004465414FF;19/02/2023;9;0,225;R
ES0021000004465414FF;19/02/2023;10;0,174;R
ES0021000004465414FF;19/02/2023;11;0,197;R
ES0021000004465414FF;19/02/2023;12;0,395;R
ES0021000004465414FF;19/02/2023;13;1,03;R
ES0021000004465414FF;19/02/2023;14;1,529;R
ES0021000004465414FF;19/02/2023;15;1,815;R
ES0021000004465414FF;19/02/2023;16;1,028;R
ES0021000004465414FF;19/02/2023;17;1,174;R
ES0021000004465414FF;19/02/2023;18;0,689;R
ES0021000004465414FF;19/02/2023;19;0,677;R
ES0021000004465414FF;19/02/2023;20;0,954;R
ES0021000004465414FF;19/02/2023;21;1,033;R
ES0021000004465414FF;19/02/2023;22;0,624;R
ES0021000004465414FF;19/02/2023;23;0,552;R
ES0021000004465414FF;19/02/2023;24;0,309;R
ES0021000004465414FF;20/02/2023;1;0,213;R
ES0021000004465414FF;20/02/2023;2;0,179;R
ES0021000004465414FF;20/02/2023;3;0,27;R
ES0021000004465414FF;20/02/2023;4;0,173;R
ES0021000004465414FF;20/02/2023;5;0,163;R
ES0021000004465414FF;20/02/2023;6;0,115;R
ES0021000004465414FF;20/02/2023;7;0,327;R
ES0021000004465414FF;20/02/2023;8;0,176;R
ES0021000004465414FF;20/02/2023;9;0,151;R
ES0021000004465414FF;20/02/2023;10;0,102;R
ES0021000004465414FF;20/02/2023;11;0,367;R
ES0021000004465414FF;20/02/2023;12;0,328;R
ES0021000004465414FF;20/02/2023;13;0,146;R
ES0021000004465414FF;20/02/2023;14;0,098;R
ES0021000004465414FF;20/02/2023;15;0,193;R
ES0021000004465414FF;20/02/2023;16;0,32;R
ES0021000004465414FF;20/02/2023;17;0,112;R
ES0021000004465414FF;20/02/2023;18;0,16;R
ES0021000004465414FF;20/02/2023;19;0,223;R
ES0021000004465414FF;20/02/2023;20;0,907;R
ES0021000004465414FF;20/02/2023;21;1,674;R
ES0021000004465414FF;20/02/2023;22;0,702;R
ES0021000004465414FF;20/02/2023;23;0,5;R
ES0021000004465414FF;20/02/2023;24;0,29;R
ES0021000004465414FF;21/02/2023;1;0,214;R
ES0021000004465414FF;21/02/2023;2;0,16;R
ES0021000004465414FF;21/02/2023;3;0,152;R
ES0021000004465414FF;21/02/2023;4;0,114;R
ES0021000004465414FF;21/02/2023;5;0,117;R
ES0021000004465414FF;21/02/2023;6;0,143;R
ES0021000004465414FF;21/02/2023;7;0,313;R
ES0021000004465414FF;21/02/2023;8;0,234;R
ES0021000004465414FF;21/02/2023;9;0,198;R
ES0021000004465414FF;21/02/2023;10;0,23;R
ES0021000004465414FF;21/02/2023;11;0,434;R
ES0021000004465414FF;21/02/2023;12;0,376;R
ES0021000004465414FF;21/02/2023;13;0,22;R
ES0021000004465414FF;21/02/2023;14;0,158;R
ES0021000004465414FF;21/02/2023;15;0,161;R
ES0021000004465414FF;21/02/2023;16;0,237;R
ES0021000004465414FF;21/02/2023;17;0,175;R
ES0021000004465414FF;21/02/2023;18;0,186;R
ES0021000004465414FF;21/02/2023;19;0,263;R
ES0021000004465414FF;21/02/2023;20;0,949;R
ES0021000004465414FF;21/02/2023;21;2,015;R
ES0021000004465414FF;21/02/2023;22;1,513;R
ES0021000004465414FF;21/02/2023;23;0,8;R
ES0021000004465414FF;21/02/2023;24;0,704;R
ES0021000004465414FF;22/02/2023;1;0,264;R
ES0021000004465414FF;22/02/2023;2;0,139;R
ES0021000004465414FF;22/02/2023;3;0,243;R
ES0021000004465414FF;22/02/2023;4;0,113;R
ES0021000004465414FF;22/02/2023;5;0,156;R
ES0021000004465414FF;22/02/2023;6;0,132;R
ES0021000004465414FF;22/02/2023;7;0,266;R
ES0021000004465414FF;22/02/2023;8;0,229;R
ES0021000004465414FF;22/02/2023;9;0,214;R
ES0021000004465414FF;22/02/2023;10;0,416;R
ES0021000004465414FF;22/02/2023;11;0,438;R
ES0021000004465414FF;22/02/2023;12;0,342;R
ES0021000004465414FF;22/02/2023;13;0,345;R
ES0021000004465414FF;22/02/2023;14;0,236;R
ES0021000004465414FF;22/02/2023;15;0,386;R
ES0021000004465414FF;22/02/2023;16;0,435;R
ES0021000004465414FF;22/02/2023;17;0,325;R
ES0021000004465414FF;22/02/2023;18;0,346;R
ES0021000004465414FF;22/02/2023;19;0,361;R
ES0021000004465414FF;22/02/2023;20;0,398;R
ES0021000004465414FF;22/02/2023;21;1,263;R
ES0021000004465414FF;22/02/2023;22;0,819;R
ES0021000004465414FF;22/02/2023;23;0,782;R
ES0021000004465414FF;22/02/2023;24;0,562;R
ES0021000004465414FF;23/02/2023;1;0,379;R
ES0021000004465414FF;23/02/2023;2;0,12;R
ES0021000004465414FF;23/02/2023;3;0,186;R
ES0021000004465414FF;23/02/2023;4;0,089;R
ES0021000004465414FF;23/02/2023;5;0,153;R
ES0021000004465414FF;23/02/2023;6;0,133;R
ES0021000004465414FF;23/02/2023;7;0,321;R
ES0021000004465414FF;23/02/2023;8;0,218;R
ES0021000004465414FF;23/02/2023;9;0,188;R
ES0021000004465414FF;23/02/2023;10;0,231;R
ES0021000004465414FF;23/02/2023;11;0,539;R
ES0021000004465414FF;23/02/2023;12;0,761;R
ES0021000004465414FF;23/02/2023;13;0,373;R
ES0021000004465414FF;23/02/2023;14;0,303;R
ES0021000004465414FF;23/02/2023;15;0,776;R
ES0021000004465414FF;23/02/2023;16;0,336;R
ES0021000004465414FF;23/02/2023;17;0,347;R
ES0021000004465414FF;23/02/2023;18;0,496;R
ES0021000004465414FF;23/02/2023;19;0,724;R
ES0021000004465414FF;23/02/2023;20;0,683;R
ES0021000004465414FF;23/02/2023;21;0,714;R
ES0021000004465414FF;23/02/2023;22;0,808;R
ES0021000004465414FF;23/02/2023;23;0,733;R
ES0021000004465414FF;23/02/2023;24;0,794;R
ES0021000004465414FF;24/02/2023;1;0,589;R
ES0021000004465414FF;24/02/2023;2;0,346;R
ES0021000004465414FF;24/02/2023;3;0,175;R
ES0021000004465414FF;24/02/2023;4;0,16;R
ES0021000004465414FF;24/02/2023;5;0,189;R
ES0021000004465414FF;24/02/2023;6;0,12;R
ES0021000004465414FF;24/02/2023;7;0,342;R
ES0021000004465414FF;24/02/2023;8;0,286;R
ES0021000004465414FF;24/02/2023;9;0,083;R
ES0021000004465414FF;24/02/2023;10;0,088;R
ES0021000004465414FF;24/02/2023;11;0,076;R
ES0021000004465414FF;24/02/2023;12;0,072;R
ES0021000004465414FF;24/02/2023;13;0,092;R
ES0021000004465414FF;24/02/2023;14;0,076;R
ES0021000004465414FF;24/02/2023;15;0,087;R
ES0021000004465414FF;24/02/2023;16;0,095;R
ES0021000004465414FF;24/02/2023;17;0,113;R
ES0021000004465414FF;24/02/2023;18;0,091;R
ES0021000004465414FF;24/02/2023;19;0,133;R
ES0021000004465414FF;24/02/2023;20;0,21;R
ES0021000004465414FF;24/02/2023;21;0,092;R
ES0021000004465414FF;24/02/2023;22;0,078;R
ES0021000004465414FF;24/02/2023;23;0,151;R
ES0021000004465414FF;24/02/2023;24;0,081;R
ES0021000004465414FF;25/02/2023;1;0,084;R
ES0021000004465414FF;25/02/2023;2;0,14;R
ES0021000004465414FF;25/02/2023;3;0,079;R
ES0021000004465414FF;25/02/2023;4;0,12;R
ES0021000004465414FF;25/02/2023;5;0,108;R
ES0021000004465414FF;25/02/2023;6;0,082;R
ES0021000004465414FF;25/02/2023;7;0,154;R
ES0021000004465414FF;25/02/2023;8;0,073;R
ES0021000004465414FF;25/02/2023;9;0,139;R
ES0021000004465414FF;25/02/2023;10;0,09;R
ES0021000004465414FF;25/02/2023;11;0,134;R
ES0021000004465414FF;25/02/2023;12;0,077;R
ES0021000004465414FF;25/02/2023;13;0,139;R
ES0021000004465414FF;25/02/2023;14;0,09;R
ES0021000004465414FF;25/02/2023;15;0,087;R
ES0021000004465414FF;25/02/2023;16;0,147;R
ES0021000004465414FF;25/02/2023;17;0,067;R
ES0021000004465414FF;25/02/2023;18;0,135;R
ES0021000004465414FF;25/02/2023;19;0,1;R
ES0021000004465414FF;25/02/2023;20;0,068;R
ES0021000004465414FF;25/02/2023;21;0,143;R
ES0021000004465414FF;25/02/2023;22;0,091;R
ES0021000004465414FF;25/02/2023;23;0,086;R
ES0021000004465414FF;25/02/2023;24;0,128;R
ES0021000004465414FF;26/02/2023;1;0,088;R
ES0021000004465414FF;26/02/2023;2;0,116;R
ES0021000004465414FF;26/02/2023;3;0,101;R
ES0021000004465414FF;26/02/2023;4;0,135;R
ES0021000004465414FF;26/02/2023;5;0,212;R
ES0021000004465414FF;26/02/2023;6;0,087;R
ES0021000004465414FF;26/02/2023;7;0,146;R
ES0021000004465414FF;26/02/2023;8;0,106;R
ES0021000004465414FF;26/02/2023;9;0,114;R
ES0021000004465414FF;26/02/2023;10;0,132;R
ES0021000004465414FF;26/02/2023;11;0,07;R
ES0021000004465414FF;26/02/2023;12;0,157;R
ES0021000004465414FF;26/02/2023;13;0,09;R
ES0021000004465414FF;26/02/2023;14;0,157;R
ES0021000004465414FF;26/02/2023;15;0,078;R
ES0021000004465414FF;26/02/2023;16;0,13;R
ES0021000004465414FF;26/02/2023;17;0,1;R
ES0021000004465414FF;26/02/2023;18;0,098;R
ES0021000004465414FF;26/02/2023;19;0,138;R
ES0021000004465414FF;26/02/2023;20;0,669;R
ES0021000004465414FF;26/02/2023;21;1,536;R
ES0021000004465414FF;26/02/2023;22;1,188;R
ES0021000004465414FF;26/02/2023;23;1,042;R
ES0021000004465414FF;26/02/2023;24;0,878;R
ES0021000004465414FF;27/02/2023;1;0,474;R
ES0021000004465414FF;27/02/2023;2;0,211;R
ES0021000004465414FF;27/02/2023;3;0,175;R
ES0021000004465414FF;27/02/2023;4;0,193;R
ES0021000004465414FF;27/02/2023;5;0,197;R
ES0021000004465414FF;27/02/2023;6;0,181;R
ES0021000004465414FF;27/02/2023;7;0,314;R
ES0021000004465414FF;27/02/2023;8;0,214;R
ES0021000004465414FF;27/02/2023;9;0,203;R
ES0021000004465414FF;27/02/2023;10;0,43;R
ES0021000004465414FF;27/02/2023;11;1,108;R
ES0021000004465414FF;27/02/2023;12;0,759;R
ES0021000004465414FF;27/02/2023;13;0,806;R
ES0021000004465414FF;27/02/2023;14;0,743;R
ES0021000004465414FF;27/02/2023;15;0,85;R
ES0021000004465414FF;27/02/2023;16;0,583;R
ES0021000004465414FF;27/02/2023;17;0,42;R
ES0021000004465414FF;27/02/2023;18;0,782;R
ES0021000004465414FF;27/02/2023;19;0,952;R
ES0021000004465414FF;27/02/2023;20;1,082;R
ES0021000004465414FF;27/02/2023;21;1,368;R
ES0021000004465414FF;27/02/2023;22;1,074;R
ES0021000004465414FF;27/02/2023;23;0,736;R
ES0021000004465414FF;27/02/2023;24;0,594;R
ES0021000004465414FF;28/02/2023;1;0,491;R
ES0021000004465414FF;28/02/2023;2;0,168;R
ES0021000004465414FF;28/02/2023;3;0,188;R
ES0021000004465414FF;28/02/2023;4;0,265;R
ES0021000004465414FF;28/02/2023;5;0,229;R
ES0021000004465414FF;28/02/2023;6;0,17;R
ES0021000004465414FF;28/02/2023;7;0,373;R
ES0021000004465414FF;28/02/2023;8;0,239;R
ES0021000004465414FF;28/02/2023;9;0,279;R
ES0021000004465414FF;28/02/2023;10;0,351;R
ES0021000004465414FF;28/02/2023;11;1,296;R
ES0021000004465414FF;28/02/2023;12;0,972;R
ES0021000004465414FF;28/02/2023;13;0,758;R
ES0021000004465414FF;28/02/2023;14;0,725;R
ES0021000004465414FF;28/02/2023;15;0,75;R
ES0021000004465414FF;28/02/2023;16;0,686;R
ES0021000004465414FF;28/02/2023;17;0,733;R
ES0021000004465414FF;28/02/2023;18;0,566;R
ES0021000004465414FF;28/02/2023;19;0,741;R
ES0021000004465414FF;28/02/2023;20;0,677;R
ES0021000004465414FF;28/02/2023;21;1,442;R
ES0021000004465414FF;28/02/2023;22;1,108;R
ES0021000004465414FF;28/02/2023;23;0,848;R
ES0021000004465414FF;28/02/2023;24;0,901;R
ES0021000004465414FF;01/03/2023;1;0,845;R
ES0021000004465414FF;01/03/2023;2;0,43;R
ES0021000004465414FF;01/03/2023;3;0,197;R
ES0021000004465414FF;01/03/2023;4;0,182;R
ES0021000004465414FF;01/03/2023;5;0,187;R
ES0021000004465414FF;01/03/2023;6;0,17;R
ES0021000004465414FF;01/03/2023;7;0,305;R
ES0021000004465414FF;01/03/2023;8;0,22;R
ES0021000004465414FF;01/03/2023;9;0,168;R
ES0021000004465414FF;01/03/2023;10;0,426;R
ES0021000004465414FF;01/03/2023;11;0,418;R
ES0021000004465414FF;01/03/2023;12;0,685;R
ES0021000004465414FF;01/03/2023;13;0,651;R
ES0021000004465414FF;01/03/2023;14;0,934;R
ES0021000004465414FF;01/03/2023;15;0,927;R
ES0021000004465414FF;01/03/2023;16;0,622;R
ES0021000004465414FF;01/03/2023;17;0,74;R
ES0021000004465414FF;01/03/2023;18;0,672;R
ES0021000004465414FF;01/03/2023;19;0,733;R
ES0021000004465414FF;01/03/2023;20;1,356;R
ES0021000004465414FF;01/03/2023;21;0,749;R
ES0021000004465414FF;01/03/2023;22;1,828;R
ES0021000004465414FF;01/03/2023;23;0,978;R
ES0021000004465414FF;01/03/2023;24;0,526;R
ES0021000004465414FF;02/03/2023;1;0,325;R
ES0021000004465414FF;02/03/2023;2;0,217;R
ES0021000004465414FF;02/03/2023;3;0,238;R
ES0021000004465414FF;02/03/2023;4;0,197;R
ES0021000004465414FF;02/03/2023;5;0,194;R
ES0021000004465414FF;02/03/2023;6;0,2;R
ES0021000004465414FF;02/03/2023;7;0,282;R
ES0021000004465414FF;02/03/2023;8;0,24;R
ES0021000004465414FF;02/03/2023;9;0,18;R
ES0021000004465414FF;02/03/2023;10;0,382;R
ES0021000004465414FF;02/03/2023;11;0,376;R
ES0021000004465414FF;02/03/2023;12;0,367;R
ES0021000004465414FF;02/03/2023;13;0,157;R
ES0021000004465414FF;02/03/2023;14;0,17;R
ES0021000004465414FF;02/03/2023;15;0,186;R
ES0021000004465414FF;02/03/2023;16;0,71;R
ES0021000004465414FF;02/03/2023;17;0,684;R
