Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
25/10/2022;1;63;R
25/10/2022;2;59;R
25/10/2022;3;57;R
25/10/2022;4;61;R
25/10/2022;5;63;R
25/10/2022;6;60;R
25/10/2022;7;60;R
25/10/2022;8;148;R
25/10/2022;9;340;R
25/10/2022;10;132;R
25/10/2022;11;125;R
25/10/2022;12;71;R
25/10/2022;13;58;R
25/10/2022;14;59;R
25/10/2022;15;59;R
25/10/2022;16;72;R
25/10/2022;17;111;R
25/10/2022;18;1189;R
25/10/2022;19;629;R
25/10/2022;20;69;R
25/10/2022;21;123;R
25/10/2022;22;134;R
25/10/2022;23;102;R
25/10/2022;24;74;R
26/10/2022;1;66;R
26/10/2022;2;62;R
26/10/2022;3;66;R
26/10/2022;4;67;R
26/10/2022;5;64;R
26/10/2022;6;64;R
26/10/2022;7;232;R
26/10/2022;8;127;R
26/10/2022;9;141;R
26/10/2022;10;75;R
26/10/2022;11;85;R
26/10/2022;12;64;R
26/10/2022;13;64;R
26/10/2022;14;59;R
26/10/2022;15;59;R
26/10/2022;16;65;R
26/10/2022;17;64;R
26/10/2022;18;101;R
26/10/2022;19;243;R
26/10/2022;20;67;R
26/10/2022;21;153;R
26/10/2022;22;205;R
26/10/2022;23;125;R
26/10/2022;24;76;R
27/10/2022;1;73;R
27/10/2022;2;64;R
27/10/2022;3;61;R
27/10/2022;4;63;R
27/10/2022;5;65;R
27/10/2022;6;62;R
27/10/2022;7;62;R
27/10/2022;8;138;R
27/10/2022;9;148;R
27/10/2022;10;251;R
27/10/2022;11;113;R
27/10/2022;12;68;R
27/10/2022;13;62;R
27/10/2022;14;61;R
27/10/2022;15;61;R
27/10/2022;16;529;R
27/10/2022;17;96;R
27/10/2022;18;87;R
27/10/2022;19;178;R
27/10/2022;20;224;R
27/10/2022;21;87;R
27/10/2022;22;85;R
27/10/2022;23;84;R
27/10/2022;24;89;R
28/10/2022;1;65;R
28/10/2022;2;102;R
28/10/2022;3;86;R
28/10/2022;4;61;R
28/10/2022;5;64;R
28/10/2022;6;62;R
28/10/2022;7;61;R
28/10/2022;8;61;R
28/10/2022;9;234;R
28/10/2022;10;140;R
28/10/2022;11;64;R
28/10/2022;12;59;R
28/10/2022;13;59;R
28/10/2022;14;58;R
28/10/2022;15;70;R
28/10/2022;16;148;R
28/10/2022;17;91;R
28/10/2022;18;105;R
28/10/2022;19;161;R
28/10/2022;20;283;R
28/10/2022;21;236;R
28/10/2022;22;145;R
28/10/2022;23;138;R
28/10/2022;24;128;R
29/10/2022;1;142;R
29/10/2022;2;96;R
29/10/2022;3;70;R
29/10/2022;4;65;R
29/10/2022;5;63;R
29/10/2022;6;63;R
29/10/2022;7;60;R
29/10/2022;8;63;R
29/10/2022;9;76;R
29/10/2022;10;69;R
29/10/2022;11;378;R
29/10/2022;12;158;R
29/10/2022;13;99;R
29/10/2022;14;83;R
29/10/2022;15;315;R
29/10/2022;16;320;R
29/10/2022;17;98;R
29/10/2022;18;101;R
29/10/2022;19;68;R
29/10/2022;20;65;R
29/10/2022;21;75;R
29/10/2022;22;100;R
29/10/2022;23;71;R
29/10/2022;24;83;R
30/10/2022;1;83;R
30/10/2022;2;68;R
30/10/2022;3;68;R
30/10/2022;4;65;R
30/10/2022;5;68;R
30/10/2022;6;66;R
30/10/2022;7;66;R
30/10/2022;8;65;R
30/10/2022;9;67;R
30/10/2022;10;101;R
30/10/2022;11;411;R
30/10/2022;12;492;R
30/10/2022;13;260;R
30/10/2022;14;1033;R
30/10/2022;15;788;R
30/10/2022;16;223;R
30/10/2022;17;181;R
30/10/2022;18;447;R
30/10/2022;19;941;R
30/10/2022;20;65;R
30/10/2022;21;82;R
30/10/2022;22;150;R
30/10/2022;23;151;R
30/10/2022;24;136;R
30/10/2022;25;98;R
31/10/2022;1;65;R
31/10/2022;2;50;R
31/10/2022;3;49;R
31/10/2022;4;48;R
31/10/2022;5;48;R
31/10/2022;6;45;R
31/10/2022;7;49;R
31/10/2022;8;87;R
31/10/2022;9;256;R
31/10/2022;10;102;R
31/10/2022;11;53;R
31/10/2022;12;70;R
31/10/2022;13;51;R
31/10/2022;14;52;R
31/10/2022;15;321;R
31/10/2022;16;72;R
31/10/2022;17;128;R
31/10/2022;18;138;R
31/10/2022;19;621;R
31/10/2022;20;355;R
31/10/2022;21;66;R
31/10/2022;22;130;R
31/10/2022;23;165;R
31/10/2022;24;152;R
01/11/2022;1;83;R
01/11/2022;2;56;R
01/11/2022;3;54;R
01/11/2022;4;53;R
01/11/2022;5;52;R
01/11/2022;6;48;R
01/11/2022;7;53;R
01/11/2022;8;65;R
01/11/2022;9;88;R
01/11/2022;10;215;R
01/11/2022;11;83;R
01/11/2022;12;357;R
01/11/2022;13;261;R
01/11/2022;14;74;R
01/11/2022;15;1049;R
01/11/2022;16;808;R
01/11/2022;17;149;R
01/11/2022;18;116;R
01/11/2022;19;82;R
01/11/2022;20;484;R
01/11/2022;21;877;R
01/11/2022;22;689;R
01/11/2022;23;190;R
01/11/2022;24;68;R
02/11/2022;1;59;R
02/11/2022;2;57;R
02/11/2022;3;52;R
02/11/2022;4;57;R
02/11/2022;5;52;R
02/11/2022;6;53;R
02/11/2022;7;159;R
02/11/2022;8;139;R
02/11/2022;9;237;R
02/11/2022;10;65;R
02/11/2022;11;55;R
02/11/2022;12;76;R
02/11/2022;13;57;R
02/11/2022;14;53;R
02/11/2022;15;54;R
02/11/2022;16;60;R
02/11/2022;17;143;R
02/11/2022;18;159;R
02/11/2022;19;252;R
02/11/2022;20;60;R
02/11/2022;21;56;R
02/11/2022;22;535;R
02/11/2022;23;180;R
02/11/2022;24;94;R
03/11/2022;1;62;R
03/11/2022;2;55;R
03/11/2022;3;56;R
03/11/2022;4;56;R
03/11/2022;5;59;R
03/11/2022;6;59;R
03/11/2022;7;60;R
03/11/2022;8;74;R
03/11/2022;9;265;R
03/11/2022;10;81;R
03/11/2022;11;84;R
03/11/2022;12;112;R
03/11/2022;13;509;R
03/11/2022;14;255;R
03/11/2022;15;59;R
03/11/2022;16;57;R
03/11/2022;17;55;R
03/11/2022;18;54;R
03/11/2022;19;55;R
03/11/2022;20;54;R
03/11/2022;21;55;R
03/11/2022;22;54;R
03/11/2022;23;52;R
03/11/2022;24;51;R
04/11/2022;1;54;R
04/11/2022;2;54;R
04/11/2022;3;54;R
04/11/2022;4;53;R
04/11/2022;5;53;R
04/11/2022;6;52;R
04/11/2022;7;52;R
04/11/2022;8;52;R
04/11/2022;9;54;R
04/11/2022;10;53;R
04/11/2022;11;53;R
04/11/2022;12;51;R
04/11/2022;13;49;R
04/11/2022;14;49;R
04/11/2022;15;47;R
04/11/2022;16;79;R
04/11/2022;17;92;R
04/11/2022;18;53;R
04/11/2022;19;50;R
04/11/2022;20;52;R
04/11/2022;21;51;R
04/11/2022;22;51;R
04/11/2022;23;51;R
04/11/2022;24;50;R
05/11/2022;1;49;R
05/11/2022;2;47;R
05/11/2022;3;49;R
05/11/2022;4;50;R
05/11/2022;5;50;R
05/11/2022;6;49;R
05/11/2022;7;48;R
05/11/2022;8;50;R
05/11/2022;9;49;R
05/11/2022;10;47;R
05/11/2022;11;47;R
05/11/2022;12;50;R
05/11/2022;13;48;R
05/11/2022;14;49;R
05/11/2022;15;49;R
05/11/2022;16;50;R
05/11/2022;17;50;R
05/11/2022;18;47;R
05/11/2022;19;49;R
05/11/2022;20;54;R
05/11/2022;21;53;R
05/11/2022;22;52;R
05/11/2022;23;95;R
05/11/2022;24;147;R
06/11/2022;1;114;R
06/11/2022;2;64;R
06/11/2022;3;54;R
06/11/2022;4;52;R
06/11/2022;5;51;R
06/11/2022;6;53;R
06/11/2022;7;51;R
06/11/2022;8;51;R
06/11/2022;9;50;R
06/11/2022;10;62;R
06/11/2022;11;458;R
06/11/2022;12;75;R
06/11/2022;13;539;R
06/11/2022;14;120;R
06/11/2022;15;179;R
06/11/2022;16;628;R
06/11/2022;17;317;R
06/11/2022;18;54;R
06/11/2022;19;113;R
06/11/2022;20;252;R
06/11/2022;21;167;R
