time;P;G(i);H_sun;T2m;WS10m;Int
20180101:0010;0.0;0.0;0.0;4.14;2.28;0.0
20180101:0110;0.0;0.0;0.0;3.2;2.14;0.0
20180101:0210;0.0;0.0;0.0;2.34;1.93;0.0
20180101:0310;0.0;0.0;0.0;1.1;1.66;0.0
20180101:0410;0.0;0.0;0.0;0.02;1.66;0.0
20180101:0510;0.0;0.0;0.0;-0.6;1.66;0.0
20180101:0610;0.0;0.0;0.0;-1.0;1.59;0.0
20180101:0710;0.0;0.0;0.0;-0.08;1.17;0.0
20180101:0810;174.83;212.44;4.34;-0.46;1.31;0.0
20180101:0910;500.89;578.53;12.97;1.01;1.24;0.0
20180101:1010;554.52;649.43;19.93;4.89;1.86;0.0
20180101:1110;625.98;740.72;24.63;6.87;2.55;0.0
20180101:1210;546.72;643.94;26.55;8.53;3.31;0.0
20180101:1310;711.27;849.03;25.43;9.63;3.86;0.0
20180101:1410;522.42;615.19;21.43;10.22;4.14;0.0
20180101:1510;333.34;395.23;15.02;10.33;4.14;0.0
20180101:1610;91.52;124.53;6.77;9.78;3.79;0.0
20180101:1710;0.0;0.0;0.0;8.91;3.52;0.0
20180101:1810;0.0;0.0;0.0;8.38;3.59;0.0
20180101:1910;0.0;0.0;0.0;8.14;3.66;0.0
20180101:2010;0.0;0.0;0.0;7.49;3.31;0.0
20180101:2110;0.0;0.0;0.0;7.11;3.31;0.0
20180101:2210;0.0;0.0;0.0;6.99;3.1;0.0
20180101:2310;0.0;0.0;0.0;6.66;3.03;0.0
20180102:0010;0.0;0.0;0.0;6.5;2.97;0.0
20180102:0110;0.0;0.0;0.0;6.12;2.83;0.0
20180102:0210;0.0;0.0;0.0;5.77;2.41;0.0
20180102:0310;0.0;0.0;0.0;5.44;2.0;0.0
20180102:0410;0.0;0.0;0.0;5.07;1.79;0.0
20180102:0510;0.0;0.0;0.0;4.84;1.79;0.0
20180102:0610;0.0;0.0;0.0;4.71;1.72;0.0
20180102:0710;0.0;0.0;0.0;4.55;1.86;0.0
20180102:0810;13.47;27.75;4.33;4.22;1.79;0.0
20180102:0910;211.77;252.94;12.99;5.25;1.66;0.0
20180102:1010;632.6;752.69;19.96;7.5;2.21;0.0
20180102:1110;670.26;806.45;24.69;9.32;2.55;0.0
20180102:1210;694.79;839.93;26.63;10.5;2.97;0.0
20180102:1310;661.79;798.3;25.53;11.52;3.24;0.0
20180102:1410;540.91;648.38;21.55;12.34;3.17;0.0
20180102:1510;180.13;224.58;15.14;12.55;3.03;0.0
20180102:1610;222.89;282.5;6.9;12.17;2.55;0.0
20180102:1710;0.0;0.0;0.0;11.13;2.34;0.0
20180102:1810;0.0;0.0;0.0;10.43;2.34;0.0
20180102:1910;0.0;0.0;0.0;9.91;2.41;0.0
20180102:2010;0.0;0.0;0.0;9.48;2.41;0.0
20180102:2110;0.0;0.0;0.0;9.3;2.41;0.0
20180102:2210;0.0;0.0;0.0;8.98;2.34;0.0
20180102:2310;0.0;0.0;0.0;8.81;2.34;0.0
20180103:0010;0.0;0.0;0.0;8.65;2.34;0.0
20180103:0110;0.0;0.0;0.0;8.42;2.34;0.0
20180103:0210;0.0;0.0;0.0;8.29;2.28;0.0
20180103:0310;0.0;0.0;0.0;8.02;2.21;0.0
20180103:0410;0.0;0.0;0.0;7.78;2.07;0.0
20180103:0510;0.0;0.0;0.0;7.68;1.93;0.0
20180103:0610;0.0;0.0;0.0;7.89;1.79;0.0
20180103:0710;0.0;0.0;0.0;7.31;1.31;0.0
20180103:0810;101.52;135.05;4.33;7.43;1.38;0.0
20180103:0910;33.79;54.39;13.0;8.29;1.38;0.0
20180103:1010;170.87;212.27;20.0;9.88;1.86;0.0
20180103:1110;396.79;474.76;24.75;11.41;2.28;0.0
20180103:1210;526.12;636.06;26.72;12.73;2.48;0.0
20180103:1310;644.35;790.8;25.64;14.18;2.76;0.0
20180103:1410;558.43;681.93;21.67;15.07;2.76;0.0
