month;day;hour;P (kW);Consumo (kWh);PVPC (kWh)
1;1;0;0.0;0.105;0.20451
1;1;0;0.0;0.158;0.20451
1;1;0;0.0;0.063;0.20451
1;1;0;0.0;0.105;0.04145
1;1;0;0.0;0.158;0.04145
1;1;0;0.0;0.063;0.04145
1;1;1;0.0;0.104;0.17135
1;1;1;0.0;0.117;0.17135
1;1;1;0.0;0.062;0.17135
1;1;1;0.0;0.104;0.04301
1;1;1;0.0;0.117;0.04301
1;1;1;0.0;0.062;0.04301
1;1;2;0.0;0.099;0.1727
1;1;2;0.0;0.193;0.1727
1;1;2;0.0;0.065;0.1727
1;1;2;0.0;0.099;0.05807
1;1;2;0.0;0.193;0.05807
1;1;2;0.0;0.065;0.05807
1;1;3;0.0;0.112;0.15607
1;1;3;0.0;0.143;0.15607
1;1;3;0.0;0.119;0.15607
1;1;3;0.0;0.112;0.06069
1;1;3;0.0;0.143;0.06069
1;1;3;0.0;0.119;0.06069
1;1;4;0.0;0.26;0.15908
1;1;4;0.0;0.145;0.15908
1;1;4;0.0;0.083;0.15908
1;1;4;0.0;0.26;0.06291
1;1;4;0.0;0.145;0.06291
1;1;4;0.0;0.083;0.06291
1;1;5;0.0;0.168;0.15728
1;1;5;0.0;0.268;0.15728
1;1;5;0.0;0.068;0.15728
1;1;5;0.0;0.168;0.06148
1;1;5;0.0;0.268;0.06148
1;1;5;0.0;0.068;0.06148
1;1;6;0.0;0.191;0.15887
1;1;6;0.0;0.159;0.15887
1;1;6;0.0;0.067;0.15887
1;1;6;0.0;0.191;0.06301
1;1;6;0.0;0.159;0.06301
1;1;6;0.0;0.067;0.06301
1;1;7;0.0;0.133;0.15758
1;1;7;0.0;0.16;0.15758
1;1;7;0.0;0.068;0.15758
1;1;7;0.0;0.133;0.06032
1;1;7;0.0;0.16;0.06032
1;1;7;0.0;0.068;0.06032
1;1;8;0.17483;0.116;0.15618
1;1;8;0.09704;0.116;0.15618
1;1;8;0.09097;0.116;0.15618
1;1;8;0.17483;0.212;0.15618
1;1;8;0.09704;0.212;0.15618
1;1;8;0.09097;0.212;0.15618
1;1;8;0.17483;0.065;0.15618
1;1;8;0.09704;0.065;0.15618
1;1;8;0.09097;0.065;0.15618
1;1;8;0.17483;0.116;0.06793
1;1;8;0.09704;0.116;0.06793
1;1;8;0.09097;0.116;0.06793
1;1;8;0.17483;0.212;0.06793
1;1;8;0.09704;0.212;0.06793
1;1;8;0.09097;0.212;0.06793
1;1;8;0.17483;0.065;0.06793
1;1;8;0.09704;0.065;0.06793
1;1;8;0.09097;0.065;0.06793
1;1;9;0.50089;0.172;0.11896
1;1;9;0.4766;0.172;0.11896
1;1;9;0.46828;0.172;0.11896
1;1;9;0.50089;0.207;0.11896
1;1;9;0.4766;0.207;0.11896
1;1;9;0.46828;0.207;0.11896
1;1;9;0.50089;0.065;0.11896
