Time;Consumo (kWh);ID
2022-02-18 00:00:00;0,21;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 01:00:00;0,128;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 02:00:00;0,15;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 03:00:00;0,177;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 04:00:00;0,16;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 05:00:00;0,184;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 06:00:00;0,14;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 07:00:00;0,355;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 08:00:00;0,269;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 09:00:00;0,285;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 10:00:00;0,289;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 11:00:00;0,306;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 12:00:00;0,296;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 13:00:00;0,507;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 14:00:00;1,672;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 15:00:00;0,882;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 16:00:00;0,55;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 17:00:00;0,396;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 18:00:00;0,303;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 19:00:00;0,277;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 20:00:00;0,264;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 21:00:00;0,145;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 22:00:00;0,197;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-18 23:00:00;0,141;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 00:00:00;0,233;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 01:00:00;0,179;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 02:00:00;0,187;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 03:00:00;0,255;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 04:00:00;0,128;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 05:00:00;0,152;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 06:00:00;0,2;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 07:00:00;0,17;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 08:00:00;0,227;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 09:00:00;0,324;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 10:00:00;0,366;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 11:00:00;0,33;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 12:00:00;1,409;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 13:00:00;1,059;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 14:00:00;1,077;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 15:00:00;0,592;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 16:00:00;0,511;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 17:00:00;0,567;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 18:00:00;0,593;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 19:00:00;0,419;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 20:00:00;0,441;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 21:00:00;0,485;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 22:00:00;0,38;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-19 23:00:00;0,393;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 00:00:00;0,423;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 01:00:00;0,336;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 02:00:00;0,154;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 03:00:00;0,194;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 04:00:00;0,222;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 05:00:00;0,227;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 06:00:00;0,304;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 07:00:00;0,403;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 08:00:00;0,307;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 09:00:00;0,272;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 10:00:00;0,456;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 11:00:00;0,447;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 12:00:00;0,749;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 13:00:00;1,903;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 14:00:00;0,616;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 15:00:00;0,871;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 16:00:00;0,506;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 17:00:00;0,519;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 18:00:00;0,563;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 19:00:00;0,576;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 20:00:00;0,557;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 21:00:00;0,804;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 22:00:00;0,342;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-20 23:00:00;0,335;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 00:00:00;0,36;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 01:00:00;0,362;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 02:00:00;0,329;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 03:00:00;0,351;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 04:00:00;0,144;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 05:00:00;0,209;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 06:00:00;0,291;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 07:00:00;0,272;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 08:00:00;0,236;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 09:00:00;0,206;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 10:00:00;0,189;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 11:00:00;0,265;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 12:00:00;0,3;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 13:00:00;0,382;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 14:00:00;1,124;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 15:00:00;0,379;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 16:00:00;0,522;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 17:00:00;0,499;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 18:00:00;0,397;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 19:00:00;0,422;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 20:00:00;0,575;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 21:00:00;0,59;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 22:00:00;0,41;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 23:00:00;0,332;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 00:00:00;0,208;Casa1_18_02_2022-18_02_2023-R.csv
