P (kW);Time
0.0;2018-01-01 00:10:00
0.0;2018-01-01 01:10:00
0.0;2018-01-01 02:10:00
0.0;2018-01-01 03:10:00
0.0;2018-01-01 04:10:00
0.0;2018-01-01 05:10:00
0.0;2018-01-01 06:10:00
0.0;2018-01-01 07:10:00
0.17483;2018-01-01 08:10:00
0.50089;2018-01-01 09:10:00
0.55452;2018-01-01 10:10:00
0.62598;2018-01-01 11:10:00
0.54672;2018-01-01 12:10:00
0.71127;2018-01-01 13:10:00
0.52242;2018-01-01 14:10:00
0.3333399999999999;2018-01-01 15:10:00
0.0915199999999999;2018-01-01 16:10:00
0.0;2018-01-01 17:10:00
0.0;2018-01-01 18:10:00
0.0;2018-01-01 19:10:00
0.0;2018-01-01 20:10:00
0.0;2018-01-01 21:10:00
0.0;2018-01-01 22:10:00
0.0;2018-01-01 23:10:00
0.0;2018-01-02 00:10:00
0.0;2018-01-02 01:10:00
0.0;2018-01-02 02:10:00
0.0;2018-01-02 03:10:00
0.0;2018-01-02 04:10:00
0.0;2018-01-02 05:10:00
0.0;2018-01-02 06:10:00
0.0;2018-01-02 07:10:00
0.013470000000000001;2018-01-02 08:10:00
0.21177;2018-01-02 09:10:00
0.6326;2018-01-02 10:10:00
0.67026;2018-01-02 11:10:00
0.69479;2018-01-02 12:10:00
0.66179;2018-01-02 13:10:00
0.54091;2018-01-02 14:10:00
0.1801299999999999;2018-01-02 15:10:00
0.2228899999999999;2018-01-02 16:10:00
0.0;2018-01-02 17:10:00
0.0;2018-01-02 18:10:00
0.0;2018-01-02 19:10:00
0.0;2018-01-02 20:10:00
0.0;2018-01-02 21:10:00
0.0;2018-01-02 22:10:00
0.0;2018-01-02 23:10:00
0.0;2018-01-03 00:10:00
0.0;2018-01-03 01:10:00
0.0;2018-01-03 02:10:00
0.0;2018-01-03 03:10:00
0.0;2018-01-03 04:10:00
0.0;2018-01-03 05:10:00
0.0;2018-01-03 06:10:00
0.0;2018-01-03 07:10:00
0.10152;2018-01-03 08:10:00
0.03379;2018-01-03 09:10:00
0.17087;2018-01-03 10:10:00
0.39679000000000003;2018-01-03 11:10:00
0.52612;2018-01-03 12:10:00
0.64435;2018-01-03 13:10:00
0.55843;2018-01-03 14:10:00
0.40996;2018-01-03 15:10:00
0.18467;2018-01-03 16:10:00
0.0;2018-01-03 17:10:00
0.0;2018-01-03 18:10:00
0.0;2018-01-03 19:10:00
0.0;2018-01-03 20:10:00
0.0;2018-01-03 21:10:00
0.0;2018-01-03 22:10:00
0.0;2018-01-03 23:10:00
0.0;2018-01-04 00:10:00
0.0;2018-01-04 01:10:00
0.0;2018-01-04 02:10:00
0.0;2018-01-04 03:10:00
0.0;2018-01-04 04:10:00
0.0;2018-01-04 05:10:00
0.0;2018-01-04 06:10:00
0.0;2018-01-04 07:10:00
0.018;2018-01-04 08:10:00
0.06922;2018-01-04 09:10:00
0.08618;2018-01-04 10:10:00
0.46222;2018-01-04 11:10:00
0.61137;2018-01-04 12:10:00
0.4894;2018-01-04 13:10:00
0.44999;2018-01-04 14:10:00
0.42078;2018-01-04 15:10:00
0.19996;2018-01-04 16:10:00
0.0;2018-01-04 17:10:00
0.0;2018-01-04 18:10:00
0.0;2018-01-04 19:10:00
0.0;2018-01-04 20:10:00
0.0;2018-01-04 21:10:00
0.0;2018-01-04 22:10:00
0.0;2018-01-04 23:10:00
0.0;2018-01-05 00:10:00
0.0;2018-01-05 01:10:00
0.0;2018-01-05 02:10:00
0.0;2018-01-05 03:10:00
0.0;2018-01-05 04:10:00
0.0;2018-01-05 05:10:00
0.0;2018-01-05 06:10:00
0.0;2018-01-05 07:10:00
0.03469;2018-01-05 08:10:00
0.14859;2018-01-05 09:10:00
0.2560199999999999;2018-01-05 10:10:00
0.03842;2018-01-05 11:10:00
0.04292;2018-01-05 12:10:00
0.08319;2018-01-05 13:10:00
0.04523;2018-01-05 14:10:00
