Fecha;Hora;Consumo (kWh);Metodo_obtencion
25/10/2022;1;0,063;R
25/10/2022;2;0,059;R
25/10/2022;3;0,057;R
25/10/2022;4;0,061;R
25/10/2022;5;0,063;R
25/10/2022;6;0,06;R
25/10/2022;7;0,06;R
25/10/2022;8;0,148;R
25/10/2022;9;0,34;R
25/10/2022;10;0,132;R
25/10/2022;11;0,125;R
25/10/2022;12;0,071;R
25/10/2022;13;0,058;R
25/10/2022;14;0,059;R
25/10/2022;15;0,059;R
25/10/2022;16;0,072;R
25/10/2022;17;0,111;R
25/10/2022;18;1,189;R
25/10/2022;19;0,629;R
25/10/2022;20;0,069;R
25/10/2022;21;0,123;R
25/10/2022;22;0,134;R
25/10/2022;23;0,102;R
25/10/2022;24;0,074;R
26/10/2022;1;0,066;R
26/10/2022;2;0,062;R
26/10/2022;3;0,066;R
26/10/2022;4;0,067;R
26/10/2022;5;0,064;R
26/10/2022;6;0,064;R
26/10/2022;7;0,232;R
26/10/2022;8;0,127;R
26/10/2022;9;0,141;R
26/10/2022;10;0,075;R
26/10/2022;11;0,085;R
26/10/2022;12;0,064;R
26/10/2022;13;0,064;R
26/10/2022;14;0,059;R
26/10/2022;15;0,059;R
26/10/2022;16;0,065;R
26/10/2022;17;0,064;R
26/10/2022;18;0,101;R
26/10/2022;19;0,243;R
26/10/2022;20;0,067;R
26/10/2022;21;0,153;R
26/10/2022;22;0,205;R
26/10/2022;23;0,125;R
26/10/2022;24;0,076;R
27/10/2022;1;0,073;R
27/10/2022;2;0,064;R
27/10/2022;3;0,061;R
27/10/2022;4;0,063;R
27/10/2022;5;0,065;R
27/10/2022;6;0,062;R
27/10/2022;7;0,062;R
27/10/2022;8;0,138;R
27/10/2022;9;0,148;R
27/10/2022;10;0,251;R
27/10/2022;11;0,113;R
27/10/2022;12;0,068;R
27/10/2022;13;0,062;R
27/10/2022;14;0,061;R
27/10/2022;15;0,061;R
27/10/2022;16;0,529;R
27/10/2022;17;0,096;R
27/10/2022;18;0,087;R
27/10/2022;19;0,178;R
27/10/2022;20;0,224;R
27/10/2022;21;0,087;R
27/10/2022;22;0,085;R
27/10/2022;23;0,084;R
27/10/2022;24;0,089;R
28/10/2022;1;0,065;R
28/10/2022;2;0,102;R
28/10/2022;3;0,086;R
28/10/2022;4;0,061;R
28/10/2022;5;0,064;R
28/10/2022;6;0,062;R
28/10/2022;7;0,061;R
28/10/2022;8;0,061;R
28/10/2022;9;0,234;R
28/10/2022;10;0,14;R
28/10/2022;11;0,064;R
28/10/2022;12;0,059;R
28/10/2022;13;0,059;R
28/10/2022;14;0,058;R
28/10/2022;15;0,07;R
28/10/2022;16;0,148;R
28/10/2022;17;0,091;R
28/10/2022;18;0,105;R
28/10/2022;19;0,161;R
28/10/2022;20;0,283;R
28/10/2022;21;0,236;R
28/10/2022;22;0,145;R
28/10/2022;23;0,138;R
28/10/2022;24;0,128;R
29/10/2022;1;0,142;R
29/10/2022;2;0,096;R
29/10/2022;3;0,07;R
29/10/2022;4;0,065;R
29/10/2022;5;0,063;R
29/10/2022;6;0,063;R
29/10/2022;7;0,06;R
29/10/2022;8;0,063;R
29/10/2022;9;0,076;R
29/10/2022;10;0,069;R
29/10/2022;11;0,378;R
29/10/2022;12;0,158;R
29/10/2022;13;0,099;R
29/10/2022;14;0,083;R
29/10/2022;15;0,315;R
29/10/2022;16;0,32;R
29/10/2022;17;0,098;R
29/10/2022;18;0,101;R
29/10/2022;19;0,068;R
29/10/2022;20;0,065;R
29/10/2022;21;0,075;R
29/10/2022;22;0,1;R
29/10/2022;23;0,071;R
29/10/2022;24;0,083;R
30/10/2022;1;0,083;R
30/10/2022;2;0,068;R
30/10/2022;3;0,068;R
