CUPS;Fecha;Hora;Consumo (kWh);Metodo_obtencion
ES0021000004465414FF;18/02/2022;1;0,21;R
ES0021000004465414FF;18/02/2022;2;0,128;R
ES0021000004465414FF;18/02/2022;3;0,15;R
ES0021000004465414FF;18/02/2022;4;0,177;R
ES0021000004465414FF;18/02/2022;5;0,16;R
ES0021000004465414FF;18/02/2022;6;0,184;R
ES0021000004465414FF;18/02/2022;7;0,14;R
ES0021000004465414FF;18/02/2022;8;0,355;R
ES0021000004465414FF;18/02/2022;9;0,269;R
ES0021000004465414FF;18/02/2022;10;0,285;R
ES0021000004465414FF;18/02/2022;11;0,289;R
ES0021000004465414FF;18/02/2022;12;0,306;R
ES0021000004465414FF;18/02/2022;13;0,296;R
ES0021000004465414FF;18/02/2022;14;0,507;R
ES0021000004465414FF;18/02/2022;15;1,672;R
ES0021000004465414FF;18/02/2022;16;0,882;R
ES0021000004465414FF;18/02/2022;17;0,55;R
ES0021000004465414FF;18/02/2022;18;0,396;R
ES0021000004465414FF;18/02/2022;19;0,303;R
ES0021000004465414FF;18/02/2022;20;0,277;R
ES0021000004465414FF;18/02/2022;21;0,264;R
ES0021000004465414FF;18/02/2022;22;0,145;R
ES0021000004465414FF;18/02/2022;23;0,197;R
ES0021000004465414FF;18/02/2022;24;0,141;R
ES0021000004465414FF;19/02/2022;1;0,233;R
ES0021000004465414FF;19/02/2022;2;0,179;R
ES0021000004465414FF;19/02/2022;3;0,187;R
ES0021000004465414FF;19/02/2022;4;0,255;R
ES0021000004465414FF;19/02/2022;5;0,128;R
ES0021000004465414FF;19/02/2022;6;0,152;R
ES0021000004465414FF;19/02/2022;7;0,2;R
ES0021000004465414FF;19/02/2022;8;0,17;R
ES0021000004465414FF;19/02/2022;9;0,227;R
ES0021000004465414FF;19/02/2022;10;0,324;R
ES0021000004465414FF;19/02/2022;11;0,366;R
ES0021000004465414FF;19/02/2022;12;0,33;R
ES0021000004465414FF;19/02/2022;13;1,409;R
ES0021000004465414FF;19/02/2022;14;1,059;R
ES0021000004465414FF;19/02/2022;15;1,077;R
ES0021000004465414FF;19/02/2022;16;0,592;R
ES0021000004465414FF;19/02/2022;17;0,511;R
ES0021000004465414FF;19/02/2022;18;0,567;R
ES0021000004465414FF;19/02/2022;19;0,593;R
ES0021000004465414FF;19/02/2022;20;0,419;R
ES0021000004465414FF;19/02/2022;21;0,441;R
ES0021000004465414FF;19/02/2022;22;0,485;R
ES0021000004465414FF;19/02/2022;23;0,38;R
ES0021000004465414FF;19/02/2022;24;0,393;R
ES0021000004465414FF;20/02/2022;1;0,423;R
ES0021000004465414FF;20/02/2022;2;0,336;R
ES0021000004465414FF;20/02/2022;3;0,154;R
ES0021000004465414FF;20/02/2022;4;0,194;R
ES0021000004465414FF;20/02/2022;5;0,222;R
ES0021000004465414FF;20/02/2022;6;0,227;R
ES0021000004465414FF;20/02/2022;7;0,304;R
ES0021000004465414FF;20/02/2022;8;0,403;R
ES0021000004465414FF;20/02/2022;9;0,307;R
ES0021000004465414FF;20/02/2022;10;0,272;R
ES0021000004465414FF;20/02/2022;11;0,456;R
ES0021000004465414FF;20/02/2022;12;0,447;R
ES0021000004465414FF;20/02/2022;13;0,749;R
ES0021000004465414FF;20/02/2022;14;1,903;R
ES0021000004465414FF;20/02/2022;15;0,616;R
ES0021000004465414FF;20/02/2022;16;0,871;R
ES0021000004465414FF;20/02/2022;17;0,506;R
ES0021000004465414FF;20/02/2022;18;0,519;R
ES0021000004465414FF;20/02/2022;19;0,563;R
ES0021000004465414FF;20/02/2022;20;0,576;R
ES0021000004465414FF;20/02/2022;21;0,557;R
ES0021000004465414FF;20/02/2022;22;0,804;R
ES0021000004465414FF;20/02/2022;23;0,342;R
ES0021000004465414FF;20/02/2022;24;0,335;R
ES0021000004465414FF;21/02/2022;1;0,36;R
ES0021000004465414FF;21/02/2022;2;0,362;R
ES0021000004465414FF;21/02/2022;3;0,329;R
ES0021000004465414FF;21/02/2022;4;0,351;R
ES0021000004465414FF;21/02/2022;5;0,144;R
ES0021000004465414FF;21/02/2022;6;0,209;R
ES0021000004465414FF;21/02/2022;7;0,291;R
ES0021000004465414FF;21/02/2022;8;0,272;R
ES0021000004465414FF;21/02/2022;9;0,236;R
ES0021000004465414FF;21/02/2022;10;0,206;R
ES0021000004465414FF;21/02/2022;11;0,189;R
ES0021000004465414FF;21/02/2022;12;0,265;R
ES0021000004465414FF;21/02/2022;13;0,3;R
ES0021000004465414FF;21/02/2022;14;0,382;R
ES0021000004465414FF;21/02/2022;15;1,124;R
ES0021000004465414FF;21/02/2022;16;0,379;R
ES0021000004465414FF;21/02/2022;17;0,522;R
ES0021000004465414FF;21/02/2022;18;0,499;R
ES0021000004465414FF;21/02/2022;19;0,397;R
ES0021000004465414FF;21/02/2022;20;0,422;R
ES0021000004465414FF;21/02/2022;21;0,575;R
ES0021000004465414FF;21/02/2022;22;0,59;R
ES0021000004465414FF;21/02/2022;23;0,41;R
ES0021000004465414FF;21/02/2022;24;0,332;R
ES0021000004465414FF;22/02/2022;1;0,208;R
ES0021000004465414FF;22/02/2022;2;0,182;R
ES0021000004465414FF;22/02/2022;3;0,216;R
ES0021000004465414FF;22/02/2022;4;0,229;R
ES0021000004465414FF;22/02/2022;5;0,142;R
ES0021000004465414FF;22/02/2022;6;0,157;R
ES0021000004465414FF;22/02/2022;7;0,245;R
ES0021000004465414FF;22/02/2022;8;0,361;R
ES0021000004465414FF;22/02/2022;9;0,247;R
ES0021000004465414FF;22/02/2022;10;0,319;R
ES0021000004465414FF;22/02/2022;11;0,26;R
ES0021000004465414FF;22/02/2022;12;0,375;R
ES0021000004465414FF;22/02/2022;13;0,266;R
ES0021000004465414FF;22/02/2022;14;0,214;R
ES0021000004465414FF;22/02/2022;15;1,269;R
ES0021000004465414FF;22/02/2022;16;0,417;R
ES0021000004465414FF;22/02/2022;17;0,374;R
ES0021000004465414FF;22/02/2022;18;0,414;R
ES0021000004465414FF;22/02/2022;19;0,474;R
ES0021000004465414FF;22/02/2022;20;0,565;R
ES0021000004465414FF;22/02/2022;21;1,135;R
ES0021000004465414FF;22/02/2022;22;0,599;R
ES0021000004465414FF;22/02/2022;23;0,432;R
ES0021000004465414FF;22/02/2022;24;0,349;R
ES0021000004465414FF;23/02/2022;1;0,171;R
ES0021000004465414FF;23/02/2022;2;0,147;R
ES0021000004465414FF;23/02/2022;3;0,188;R
ES0021000004465414FF;23/02/2022;4;0,107;R
ES0021000004465414FF;23/02/2022;5;0,208;R
ES0021000004465414FF;23/02/2022;6;0,138;R
ES0021000004465414FF;23/02/2022;7;0,345;R
ES0021000004465414FF;23/02/2022;8;0,239;R
ES0021000004465414FF;23/02/2022;9;0,228;R
ES0021000004465414FF;23/02/2022;10;0,277;R
ES0021000004465414FF;23/02/2022;11;0,219;R
ES0021000004465414FF;23/02/2022;12;0,422;R
ES0021000004465414FF;23/02/2022;13;0,33;R
ES0021000004465414FF;23/02/2022;14;0,292;R
ES0021000004465414FF;23/02/2022;15;1,063;R
ES0021000004465414FF;23/02/2022;16;0,449;R
ES0021000004465414FF;23/02/2022;17;0,545;R
ES0021000004465414FF;23/02/2022;18;0,388;R
ES0021000004465414FF;23/02/2022;19;0,543;R
ES0021000004465414FF;23/02/2022;20;0,465;R
ES0021000004465414FF;23/02/2022;21;0,562;R
ES0021000004465414FF;23/02/2022;22;0,93;R
ES0021000004465414FF;23/02/2022;23;1,389;R
ES0021000004465414FF;23/02/2022;24;0,342;R
ES0021000004465414FF;24/02/2022;1;0,259;R
ES0021000004465414FF;24/02/2022;2;0,206;R
ES0021000004465414FF;24/02/2022;3;0,163;R
ES0021000004465414FF;24/02/2022;4;0,244;R
ES0021000004465414FF;24/02/2022;5;0,219;R
ES0021000004465414FF;24/02/2022;6;0,13;R
ES0021000004465414FF;24/02/2022;7;0,356;R
ES0021000004465414FF;24/02/2022;8;0,312;R
ES0021000004465414FF;24/02/2022;9;0,175;R
ES0021000004465414FF;24/02/2022;10;0,24;R
ES0021000004465414FF;24/02/2022;11;0,196;R
ES0021000004465414FF;24/02/2022;12;0,189;R
ES0021000004465414FF;24/02/2022;13;0,225;R
ES0021000004465414FF;24/02/2022;14;0,221;R
ES0021000004465414FF;24/02/2022;15;0,974;R
ES0021000004465414FF;24/02/2022;16;0,335;R
ES0021000004465414FF;24/02/2022;17;0,291;R
ES0021000004465414FF;24/02/2022;18;0,443;R
ES0021000004465414FF;24/02/2022;19;0,35;R
ES0021000004465414FF;24/02/2022;20;0,444;R
ES0021000004465414FF;24/02/2022;21;0,507;R
ES0021000004465414FF;24/02/2022;22;0,694;R
ES0021000004465414FF;24/02/2022;23;0,447;R
ES0021000004465414FF;24/02/2022;24;0,432;R
ES0021000004465414FF;25/02/2022;1;0,266;R
ES0021000004465414FF;25/02/2022;2;0,132;R
ES0021000004465414FF;25/02/2022;3;0,18;R
ES0021000004465414FF;25/02/2022;4;0,123;R
ES0021000004465414FF;25/02/2022;5;0,172;R
ES0021000004465414FF;25/02/2022;6;0,152;R
ES0021000004465414FF;25/02/2022;7;0,669;R
ES0021000004465414FF;25/02/2022;8;0,323;R
ES0021000004465414FF;25/02/2022;9;0,239;R
ES0021000004465414FF;25/02/2022;10;0,18;R
ES0021000004465414FF;25/02/2022;11;0,28;R
ES0021000004465414FF;25/02/2022;12;0,358;R
ES0021000004465414FF;25/02/2022;13;0,307;R
ES0021000004465414FF;25/02/2022;14;0,294;R
ES0021000004465414FF;25/02/2022;15;0,772;R
ES0021000004465414FF;25/02/2022;16;0,386;R
ES0021000004465414FF;25/02/2022;17;0,342;R
ES0021000004465414FF;25/02/2022;18;0,341;R
ES0021000004465414FF;25/02/2022;19;0,367;R
ES0021000004465414FF;25/02/2022;20;0,387;R
ES0021000004465414FF;25/02/2022;21;0,407;R
ES0021000004465414FF;25/02/2022;22;0,36;R
ES0021000004465414FF;25/02/2022;23;0,433;R
ES0021000004465414FF;25/02/2022;24;0,405;R
ES0021000004465414FF;26/02/2022;1;0,249;R
ES0021000004465414FF;26/02/2022;2;0,188;R
ES0021000004465414FF;26/02/2022;3;0,233;R
ES0021000004465414FF;26/02/2022;4;0,146;R
ES0021000004465414FF;26/02/2022;5;0,185;R
ES0021000004465414FF;26/02/2022;6;0,131;R
ES0021000004465414FF;26/02/2022;7;0,182;R
ES0021000004465414FF;26/02/2022;8;0,488;R
ES0021000004465414FF;26/02/2022;9;0,265;R
