time;P;G(i);H_sun;T2m;WS10m;Int
2018-01-01 00:10:00;0.0;0.0;0.0;4.14;2.28;0.0
2018-01-01 01:10:00;0.0;0.0;0.0;3.2;2.14;0.0
2018-01-01 02:10:00;0.0;0.0;0.0;2.34;1.93;0.0
2018-01-01 03:10:00;0.0;0.0;0.0;1.1;1.66;0.0
2018-01-01 04:10:00;0.0;0.0;0.0;0.02;1.66;0.0
2018-01-01 05:10:00;0.0;0.0;0.0;-0.6;1.66;0.0
2018-01-01 06:10:00;0.0;0.0;0.0;-1.0;1.59;0.0
2018-01-01 07:10:00;0.0;0.0;0.0;-0.08;1.17;0.0
2018-01-01 08:10:00;174.83;212.44;4.34;-0.46;1.31;0.0
2018-01-01 09:10:00;500.88999999999993;578.53;12.97;1.01;1.24;0.0
2018-01-01 10:10:00;554.52;649.43;19.93;4.89;1.86;0.0
2018-01-01 11:10:00;625.98;740.72;24.63;6.87;2.55;0.0
2018-01-01 12:10:00;546.72;643.94;26.55;8.53;3.31;0.0
2018-01-01 13:10:00;711.27;849.03;25.43;9.63;3.86;0.0
2018-01-01 14:10:00;522.42;615.19;21.43;10.22;4.14;0.0
2018-01-01 15:10:00;333.3399999999999;395.23;15.02;10.33;4.14;0.0
2018-01-01 16:10:00;91.5199999999999;124.53;6.77;9.78;3.79;0.0
2018-01-01 17:10:00;0.0;0.0;0.0;8.91;3.52;0.0
2018-01-01 18:10:00;0.0;0.0;0.0;8.38;3.59;0.0
2018-01-01 19:10:00;0.0;0.0;0.0;8.14;3.66;0.0
2018-01-01 20:10:00;0.0;0.0;0.0;7.49;3.31;0.0
2018-01-01 21:10:00;0.0;0.0;0.0;7.11;3.31;0.0
2018-01-01 22:10:00;0.0;0.0;0.0;6.99;3.1;0.0
2018-01-01 23:10:00;0.0;0.0;0.0;6.66;3.03;0.0
2018-01-02 00:10:00;0.0;0.0;0.0;6.5;2.97;0.0
2018-01-02 01:10:00;0.0;0.0;0.0;6.12;2.83;0.0
2018-01-02 02:10:00;0.0;0.0;0.0;5.77;2.41;0.0
2018-01-02 03:10:00;0.0;0.0;0.0;5.44;2.0;0.0
2018-01-02 04:10:00;0.0;0.0;0.0;5.07;1.79;0.0
2018-01-02 05:10:00;0.0;0.0;0.0;4.84;1.79;0.0
2018-01-02 06:10:00;0.0;0.0;0.0;4.71;1.72;0.0
2018-01-02 07:10:00;0.0;0.0;0.0;4.55;1.86;0.0
2018-01-02 08:10:00;13.469999999999999;27.75;4.33;4.22;1.79;0.0
2018-01-02 09:10:00;211.77;252.94;12.99;5.25;1.66;0.0
2018-01-02 10:10:00;632.6;752.69;19.96;7.5;2.21;0.0
2018-01-02 11:10:00;670.26;806.45;24.69;9.32;2.55;0.0
2018-01-02 12:10:00;694.79;839.93;26.63;10.5;2.97;0.0
2018-01-02 13:10:00;661.79;798.3;25.53;11.52;3.24;0.0
2018-01-02 14:10:00;540.91;648.38;21.55;12.34;3.17;0.0
