#{"t_start": 1710201126.565544, "env_id": "microgrid-v0"}
r,l,t
32.966671,1024,0.527986
35.752162,1024,0.755399
25.231191,1024,0.979726
32.242677,1024,1.204078
29.784506,1024,1.433999
30.371834,1024,1.669792
36.511862,1024,1.906119
39.016751,1024,2.141303
36.757864,1024,2.370654
36.103283,1024,2.606493
34.965135,1024,2.841552
36.031655,1024,3.074867
36.744345,1024,3.303328
36.11776,1024,3.528737
38.294308,1024,3.751717
44.334046,1024,3.990868
45.534656,1024,4.215538
33.807571,1024,4.438637
50.747439,1024,4.66311
23.190655,1024,4.887297
36.153847,1024,5.109878
54.075825,1024,5.33399
35.416257,1024,5.557498
39.717272,1024,5.780368
40.548329,1024,6.013281
46.39096,1024,6.236606
36.909736,1024,6.463162
37.995336,1024,6.697325
38.993183,1024,6.926721
48.006946,1024,7.152014
34.352542,1024,7.376738
41.014699,1024,7.599403
40.54675,1024,7.822658
32.250733,1024,8.0468
29.650506,1024,8.270654
53.795339,1024,8.495002
53.91228,1024,8.730929
47.932816,1024,8.95681
23.744216,1024,9.182786
38.61201,1024,9.409475
42.716953,1024,9.638556
33.879097,1024,9.86778
31.38639,1024,10.093637
47.029665,1024,10.318547
39.247071,1024,10.545545
41.228815,1024,10.774371
32.74367,1024,11.000721
47.459556,1024,11.229986
43.058049,1024,11.462896
47.842748,1024,11.687756
37.71967,1024,11.917665
37.303121,1024,12.139777
46.131961,1024,12.363085
39.107654,1024,12.592712
25.720144,1024,12.822481
18.307458,1024,13.047494
45.294284,1024,13.275586
36.411383,1024,13.500443
57.599543,1024,13.72661
41.250585,1024,13.949497
35.188863,1024,14.173293
46.709121,1024,14.396316
25.205708,1024,14.625401
46.766987,1024,14.854217
46.357499,1024,15.079522
39.93055,1024,15.31269
44.525273,1024,15.560374
41.381941,1024,15.784612
35.004252,1024,16.010396
56.25729,1024,16.233916
36.598385,1024,16.456838
47.432924,1024,16.681669
47.614465,1024,16.904037
39.502263,1024,17.128576
42.721401,1024,17.352845
46.112872,1024,17.575561
41.176829,1024,17.797132
46.540714,1024,18.026572
40.503367,1024,18.250911
19.64228,1024,18.472509
41.553483,1024,18.698038
22.483998,1024,18.923318
48.396191,1024,19.149527
39.688861,1024,19.372638
36.548868,1024,19.594573
49.390332,1024,19.817897
41.888245,1024,20.046769
37.471493,1024,20.270288
43.373426,1024,20.492333
48.838242,1024,20.729285
24.553258,1024,20.953599
23.944335,1024,21.176278
46.065736,1024,21.39867
48.739393,1024,21.623969
35.670324,1024,21.847307
39.965597,1024,22.070465
46.378895,1024,22.293315
38.94911,1024,22.515799
53.610797,1024,22.742718
41.879501,1024,22.964059
37.689243,1024,23.191314
45.10739,1024,23.421403
40.003656,1024,23.644177
40.371938,1024,23.868335
38.18502,1024,24.091458
32.773642,1024,24.324462
24.090008,1024,24.557755
35.946353,1024,24.786152
47.342555,1024,25.013804
23.929862,1024,25.239104
47.037721,1024,25.473586
31.199142,1024,25.704478
52.284243,1024,25.937739
41.944666,1024,26.161882
40.039278,1024,26.385325
17.310812,1024,26.612655
46.089377,1024,26.837849
39.675083,1024,27.061076
55.04648,1024,27.290711
48.170397,1024,27.515226
26.101246,1024,27.740737
30.968714,1024,27.96595
38.231987,1024,28.188212
35.294488,1024,28.413525
41.713887,1024,28.640576
25.155217,1024,28.863872
32.727068,1024,29.088529
51.605836,1024,29.320298
35.810265,1024,29.545177
26.033992,1024,29.766538
53.563502,1024,29.994369
37.019148,1024,30.219728
53.184811,1024,30.445305
23.023474,1024,30.672078
21.127236,1024,30.897515
44.640337,1024,31.122625
36.971288,1024,31.359097
34.974028,1024,31.582142
17.886679,1024,31.805694
34.275412,1024,32.036009
44.863436,1024,32.262686
45.284497,1024,32.486808
19.484241,1024,32.712741
25.409945,1024,32.936423
23.154228,1024,33.161269
45.342876,1024,33.384434
47.412496,1024,33.609577
17.880636,1024,33.83236
18.913423,1024,34.058332
45.515214,1024,34.281811
40.53777,1024,34.505866
25.678093,1024,34.732821
39.03313,1024,34.961145
39.573256,1024,35.18711
37.362396,1024,35.415733
47.283835,1024,35.63965
24.05285,1024,35.863147
48.171989,1024,36.090287
48.719449,1024,36.315743
31.316905,1024,36.539562
22.96882,1024,36.774534
17.529455,1024,36.998506
40.845362,1024,37.229924
37.654163,1024,37.45959
36.40836,1024,37.689152
37.972608,1024,37.921794
37.719758,1024,38.153484
32.914458,1024,38.377582
36.518783,1024,38.603143
24.870535,1024,38.827894
46.615093,1024,39.050986
25.864609,1024,39.271942
44.698404,1024,39.495827
54.939952,1024,39.71933
38.715745,1024,39.945803
24.28539,1024,40.169633
38.013363,1024,40.393403
43.476981,1024,40.621621
38.160783,1024,40.845498
35.610977,1024,41.070961
31.692933,1024,41.294755
48.950073,1024,41.517173
44.041706,1024,41.740048
51.166622,1024,41.963357
31.3762,1024,42.1863
